date,flight_sorties,is_holiday,user_type,enterprise_name,admin_region,aircraft_model,day_of_week,cross_region,time_slot,flight_duration,flight_distance,altitude_interval,aircraft_category,entity_id
2023-10-17,2,No,Unknown,Ent_63,Longgang,Agras T40,Tuesday,Luohu-Longgang,08:00-09:00,58,2.420352234002407,100-300m,Industrial,Entity_184
2023-10-10,4,No,Unknown,Ent_81,Futian,Agras T40,Tuesday,Longgang-Luohu,17:00-18:00,42,1.20375468479561,300-600m,Passenger,Entity_9
2023-07-03,1,No,Unknown,Ent_42,Futian,Agras T40,Monday,Nanshan-Baoan,17:00-18:00,18,7.641796697111014,>600m,Consumer,Entity_23
2023-11-08,3,No,Individual,Ent_27,Baoan,V1500,Wednesday,Futian-Baoan,18:00-19:00,24,3.7755587075807533,300-600m,Logistics,Entity_174
2023-08-20,3,Yes,Enterprise,Ent_13,Longgang,V1500,Sunday,Futian-Nanshan,13:00-14:00,53,8.000344316815932,300-600m,Logistics,Entity_122
2023-10-17,5,No,Enterprise,Ent_72,Baoan,Mavic 3,Tuesday,Nanshan-Futian,18:00-19:00,48,16.534267340201513,>600m,Passenger,Entity_195
2023-10-29,4,Yes,Individual,Ent_62,Nanshan,Mavic 3,Sunday,Nanshan-Longgang,09:00-10:00,13,2.37331608018088,0-100m,Consumer,Entity_165
2023-12-07,4,No,Enterprise,Ent_87,Futian,Mavic 3,Thursday,Longgang-Longgang,09:00-10:00,17,16.759655914543163,>600m,Logistics,Entity_185
2023-02-16,1,No,Unknown,Ent_62,Luohu,Agras T40,Thursday,Futian-Nanshan,21:00-22:00,35,15.3704266805384,0-100m,Logistics,Entity_179
2023-03-18,2,Yes,Individual,Ent_4,Baoan,Matrice 300,Saturday,Luohu-Futian,16:00-17:00,41,12.868732111977863,0-100m,Passenger,Entity_158
2023-07-09,4,Yes,Enterprise,Ent_2,Longgang,Mavic 3,Sunday,Luohu-Luohu,08:00-09:00,35,2.0711017366271323,100-300m,Logistics,Entity_94
2023-04-22,2,Yes,Enterprise,Ent_19,Baoan,Mavic 3,Saturday,Baoan-Nanshan,21:00-22:00,53,5.578287954770315,0-100m,Passenger,Entity_104
2023-08-19,2,Yes,Unknown,Ent_39,Baoan,V1500,Saturday,Luohu-Nanshan,12:00-13:00,20,6.868930843496264,100-300m,Logistics,Entity_27
2023-08-17,4,No,Individual,Ent_92,Nanshan,Mavic 3,Thursday,Nanshan-Nanshan,20:00-21:00,14,17.622742118300977,>600m,Passenger,Entity_93
2023-08-12,2,Yes,Enterprise,Ent_54,Nanshan,Matrice 300,Saturday,Futian-Futian,19:00-20:00,14,15.140943032333187,100-300m,Logistics,Entity_160
2023-02-02,3,No,Unknown,Ent_36,Nanshan,EH216,Thursday,Futian-Futian,21:00-22:00,41,13.769643846351562,100-300m,Consumer,Entity_199
2023-12-02,3,Yes,Unknown,Ent_53,Baoan,V1500,Saturday,Futian-Futian,08:00-09:00,12,4.165066644457985,300-600m,Passenger,Entity_165
2023-03-05,4,Yes,Enterprise,Ent_2,Baoan,Mavic 3,Sunday,Luohu-Nanshan,10:00-11:00,45,5.249135368980238,>600m,Consumer,Entity_138
2023-04-17,5,No,Unknown,Ent_74,Baoan,V1500,Monday,Baoan-Longgang,13:00-14:00,7,4.725458315793744,>600m,Logistics,Entity_109
2023-07-13,1,No,Individual,Ent_31,Baoan,EH216,Thursday,Baoan-Futian,14:00-15:00,7,11.532628805853586,300-600m,Passenger,Entity_132
2023-02-26,4,Yes,Enterprise,Ent_68,Baoan,EH216,Sunday,Baoan-Longgang,18:00-19:00,25,18.861139911348786,0-100m,Consumer,Entity_194
2023-12-12,5,No,Enterprise,Ent_82,Nanshan,V1500,Tuesday,Futian-Baoan,09:00-10:00,55,6.548804825545075,300-600m,Passenger,Entity_168
2023-07-15,3,Yes,Individual,Ent_65,Luohu,Agras T40,Saturday,Luohu-Futian,17:00-18:00,22,12.413407007834566,300-600m,Passenger,Entity_156
2023-11-01,4,No,Enterprise,Ent_2,Luohu,V1500,Wednesday,Futian-Futian,08:00-09:00,50,1.872894568044715,300-600m,Passenger,Entity_173
2023-02-23,3,No,Unknown,Ent_8,Baoan,Mavic 3,Thursday,Longgang-Baoan,09:00-10:00,14,19.927286370005408,>600m,Consumer,Entity_136
2023-03-04,3,Yes,Enterprise,Ent_51,Futian,V1500,Saturday,Baoan-Nanshan,12:00-13:00,53,19.19646908493575,100-300m,Passenger,Entity_28
2023-10-24,2,No,Unknown,Ent_23,Baoan,Matrice 300,Tuesday,Futian-Longgang,19:00-20:00,36,5.845195053544247,>600m,Industrial,Entity_157
2023-07-27,3,No,Unknown,Ent_84,Luohu,V1500,Thursday,Nanshan-Baoan,10:00-11:00,42,3.889317752326302,100-300m,Logistics,Entity_33
2023-11-21,3,No,Unknown,Ent_8,Baoan,V1500,Tuesday,Luohu-Longgang,15:00-16:00,22,9.697900574312932,300-600m,Logistics,Entity_25
2023-02-20,1,No,Unknown,Ent_8,Baoan,EH216,Monday,Futian-Nanshan,17:00-18:00,39,5.542832222440862,>600m,Logistics,Entity_60
2023-01-25,3,No,Enterprise,Ent_71,Futian,EH216,Wednesday,Nanshan-Baoan,20:00-21:00,42,7.663545654520554,0-100m,Consumer,Entity_33
2023-04-09,4,Yes,Individual,Ent_25,Luohu,Agras T40,Sunday,Baoan-Nanshan,10:00-11:00,46,6.310860113418278,>600m,Industrial,Entity_86
2023-08-15,4,No,Unknown,Ent_2,Longgang,V1500,Tuesday,Luohu-Baoan,14:00-15:00,43,3.3483424919959615,300-600m,Consumer,Entity_159
2023-11-27,1,No,Unknown,Ent_27,Nanshan,EH216,Monday,Luohu-Futian,14:00-15:00,8,10.088696180980152,100-300m,Logistics,Entity_158
2023-10-25,2,No,Individual,Ent_92,Luohu,Agras T40,Wednesday,Luohu-Futian,13:00-14:00,55,7.4710343584701535,100-300m,Industrial,Entity_12
2023-01-02,3,No,Individual,Ent_69,Longgang,Mavic 3,Monday,Nanshan-Futian,08:00-09:00,49,19.543622249400368,100-300m,Passenger,Entity_67
2023-04-12,1,No,Individual,Ent_74,Longgang,EH216,Wednesday,Nanshan-Longgang,08:00-09:00,25,5.984040767495818,100-300m,Passenger,Entity_60
2023-11-10,2,No,Enterprise,Ent_63,Luohu,V1500,Friday,Baoan-Nanshan,10:00-11:00,44,15.148323032254394,100-300m,Passenger,Entity_33
2023-12-08,3,No,Individual,Ent_68,Longgang,Matrice 300,Friday,Luohu-Futian,09:00-10:00,42,12.87285989152424,0-100m,Passenger,Entity_137
2023-02-06,3,No,Individual,Ent_33,Baoan,Matrice 300,Monday,Longgang-Futian,08:00-09:00,29,9.439148053816476,0-100m,Logistics,Entity_65
2023-03-06,3,No,Enterprise,Ent_17,Baoan,V1500,Monday,Baoan-Futian,11:00-12:00,24,11.39291546024738,100-300m,Logistics,Entity_41
2023-11-19,5,Yes,Individual,Ent_60,Futian,Matrice 300,Sunday,Futian-Baoan,09:00-10:00,31,11.95873053647975,100-300m,Logistics,Entity_127
2023-03-03,3,No,Unknown,Ent_85,Luohu,V1500,Friday,Futian-Longgang,18:00-19:00,18,4.401905582616839,>600m,Logistics,Entity_149
2023-02-27,3,No,Individual,Ent_87,Luohu,Matrice 300,Monday,Baoan-Futian,18:00-19:00,48,13.035767867557237,>600m,Consumer,Entity_104
2023-03-01,5,No,Individual,Ent_64,Futian,EH216,Wednesday,Baoan-Longgang,21:00-22:00,52,16.53361295745896,100-300m,Consumer,Entity_98
2023-08-25,5,No,Unknown,Ent_22,Futian,EH216,Friday,Baoan-Longgang,12:00-13:00,26,1.6674097866077788,0-100m,Industrial,Entity_123
2023-05-24,5,No,Individual,Ent_91,Luohu,Agras T40,Wednesday,Baoan-Baoan,11:00-12:00,56,19.793315260750404,100-300m,Logistics,Entity_59
2023-05-03,2,No,Individual,Ent_47,Luohu,Agras T40,Wednesday,Nanshan-Longgang,19:00-20:00,12,11.405463355201617,100-300m,Passenger,Entity_160
2023-12-10,4,Yes,Unknown,Ent_56,Futian,EH216,Sunday,Longgang-Luohu,20:00-21:00,13,12.371696294106977,0-100m,Passenger,Entity_27
2023-10-24,1,No,Individual,Ent_89,Longgang,EH216,Tuesday,Futian-Nanshan,21:00-22:00,31,9.24056741406187,300-600m,Industrial,Entity_96
2023-01-18,5,No,Individual,Ent_17,Baoan,Matrice 300,Wednesday,Nanshan-Baoan,18:00-19:00,49,19.18665863076107,100-300m,Industrial,Entity_145
2023-11-08,1,No,Enterprise,Ent_98,Baoan,Agras T40,Wednesday,Baoan-Nanshan,06:00-07:00,36,8.848058488528155,300-600m,Passenger,Entity_122
2023-02-21,4,No,Individual,Ent_90,Luohu,Agras T40,Tuesday,Futian-Baoan,10:00-11:00,32,8.399548995402117,100-300m,Consumer,Entity_147
2023-03-24,5,No,Individual,Ent_63,Futian,EH216,Friday,Baoan-Baoan,13:00-14:00,16,4.575121044427323,0-100m,Consumer,Entity_170
2023-01-11,2,No,Unknown,Ent_6,Nanshan,EH216,Wednesday,Nanshan-Luohu,14:00-15:00,26,5.6020055751379445,>600m,Logistics,Entity_102
2023-02-10,1,No,Unknown,Ent_5,Futian,Mavic 3,Friday,Nanshan-Luohu,14:00-15:00,49,2.694699854154332,100-300m,Consumer,Entity_160
2023-12-14,2,No,Individual,XAG,Longgang,EH216,Thursday,Luohu-Luohu,14:00-15:00,55,4.580759910591014,100-300m,Industrial,Entity_92
2023-09-07,5,No,Enterprise,Ent_91,Futian,Agras T40,Thursday,Baoan-Futian,13:00-14:00,24,16.28443957201241,0-100m,Consumer,Entity_170
2023-10-08,3,Yes,Enterprise,Ent_42,Futian,Mavic 3,Sunday,Longgang-Baoan,15:00-16:00,28,6.685633686408486,>600m,Logistics,Entity_54
2023-12-08,1,No,Individual,Ent_93,Nanshan,Agras T40,Friday,Longgang-Longgang,11:00-12:00,57,16.799863343304782,100-300m,Industrial,Entity_42
2023-03-09,1,No,Enterprise,Ent_35,Longgang,Mavic 3,Thursday,Futian-Luohu,13:00-14:00,29,17.433437842503682,300-600m,Passenger,Entity_159
2023-09-25,3,No,Individual,Ent_41,Nanshan,Matrice 300,Monday,Futian-Baoan,07:00-08:00,60,7.330198540153112,0-100m,Passenger,Entity_95
2023-01-19,4,No,Unknown,Ent_73,Futian,Mavic 3,Thursday,Longgang-Longgang,09:00-10:00,33,5.355041925895315,0-100m,Consumer,Entity_7
2023-09-16,4,Yes,Unknown,Ent_12,Luohu,Mavic 3,Saturday,Futian-Futian,20:00-21:00,16,3.4956056023160627,0-100m,Industrial,Entity_109
2023-09-11,4,No,Enterprise,Ent_39,Longgang,Agras T40,Monday,Longgang-Longgang,19:00-20:00,8,5.01182555752658,300-600m,Industrial,Entity_96
2023-06-07,4,No,Enterprise,Ent_15,Luohu,V1500,Wednesday,Nanshan-Longgang,13:00-14:00,57,10.062557391116107,0-100m,Logistics,Entity_42
2023-05-23,4,No,Individual,Ent_8,Baoan,Agras T40,Tuesday,Longgang-Baoan,20:00-21:00,58,5.874299138603408,300-600m,Consumer,Entity_182
2023-01-18,2,No,Unknown,Ent_87,Baoan,Agras T40,Wednesday,Luohu-Longgang,07:00-08:00,49,14.734541120074395,300-600m,Industrial,Entity_37
2023-12-05,2,No,Individual,Ent_65,Futian,Mavic 3,Tuesday,Luohu-Longgang,08:00-09:00,33,9.97206625829663,100-300m,Logistics,Entity_51
2023-08-27,1,Yes,Enterprise,Ent_9,Baoan,Mavic 3,Sunday,Longgang-Nanshan,21:00-22:00,38,15.064018063919438,>600m,Passenger,Entity_17
2023-04-15,4,Yes,Enterprise,Ent_85,Luohu,Matrice 300,Saturday,Longgang-Futian,17:00-18:00,58,19.806063330289835,100-300m,Passenger,Entity_172
2023-12-05,4,No,Individual,Ent_83,Longgang,Matrice 300,Tuesday,Baoan-Nanshan,18:00-19:00,43,1.590940806214311,>600m,Consumer,Entity_72
2023-01-17,4,No,Individual,Ent_92,Longgang,Agras T40,Tuesday,Nanshan-Luohu,11:00-12:00,16,1.9761987380685762,100-300m,Industrial,Entity_36
2023-01-16,2,No,Individual,Ent_51,Baoan,Agras T40,Monday,Luohu-Baoan,10:00-11:00,9,17.082491111742424,300-600m,Logistics,Entity_46
2023-02-07,4,No,Enterprise,Ent_76,Longgang,EH216,Tuesday,Baoan-Futian,21:00-22:00,31,2.9432736299274413,300-600m,Consumer,Entity_40
2023-06-17,1,Yes,Individual,Ent_92,Futian,Agras T40,Saturday,Luohu-Futian,16:00-17:00,22,3.134067739973497,100-300m,Consumer,Entity_191
2023-05-07,1,Yes,Unknown,Ent_31,Nanshan,Matrice 300,Sunday,Luohu-Futian,06:00-07:00,42,11.02170225262834,>600m,Passenger,Entity_2
2023-12-07,2,No,Enterprise,Ent_93,Nanshan,Agras T40,Thursday,Nanshan-Luohu,19:00-20:00,40,3.7922935060229714,100-300m,Industrial,Entity_166
2023-11-09,1,No,Individual,Ent_68,Nanshan,EH216,Thursday,Futian-Futian,19:00-20:00,60,15.920208466522041,0-100m,Consumer,Entity_91
2023-07-16,5,Yes,Unknown,Ent_68,Nanshan,Agras T40,Sunday,Longgang-Futian,06:00-07:00,43,2.267209341705742,>600m,Industrial,Entity_33
2023-03-24,3,No,Enterprise,Ent_11,Luohu,EH216,Friday,Nanshan-Futian,08:00-09:00,12,13.089339465100018,100-300m,Logistics,Entity_187
2023-08-16,5,No,Individual,Ent_98,Longgang,V1500,Wednesday,Nanshan-Longgang,11:00-12:00,46,0.8442664514408876,300-600m,Industrial,Entity_5
2023-03-14,1,No,Individual,Ent_90,Futian,Matrice 300,Tuesday,Nanshan-Baoan,14:00-15:00,35,13.918475164724821,>600m,Industrial,Entity_73
2023-09-24,2,Yes,Individual,Ent_24,Baoan,Mavic 3,Sunday,Baoan-Luohu,07:00-08:00,51,0.7397658460170597,300-600m,Industrial,Entity_41
2023-08-27,4,Yes,Individual,Ent_35,Futian,EH216,Sunday,Luohu-Luohu,11:00-12:00,33,15.761383750686,0-100m,Logistics,Entity_38
2023-08-30,5,No,Unknown,Ent_18,Longgang,EH216,Wednesday,Nanshan-Luohu,09:00-10:00,28,3.3196306937564812,0-100m,Logistics,Entity_143
2023-11-18,1,Yes,Unknown,Ent_93,Futian,Mavic 3,Saturday,Longgang-Nanshan,06:00-07:00,21,15.06551313940636,0-100m,Passenger,Entity_198
2023-10-15,1,Yes,Unknown,Ent_56,Luohu,Mavic 3,Sunday,Nanshan-Longgang,17:00-18:00,39,10.80024718480798,300-600m,Logistics,Entity_92
2023-11-17,5,No,Enterprise,Ent_32,Nanshan,Matrice 300,Friday,Nanshan-Luohu,14:00-15:00,29,6.6671399425271805,>600m,Industrial,Entity_58
2023-11-16,3,No,Enterprise,Ent_63,Longgang,Matrice 300,Thursday,Futian-Luohu,08:00-09:00,52,17.192926294758436,300-600m,Consumer,Entity_36
2023-11-25,2,Yes,Enterprise,Ent_24,Longgang,Agras T40,Saturday,Longgang-Luohu,12:00-13:00,13,19.20901459237949,>600m,Industrial,Entity_42
2023-10-04,2,No,Enterprise,Ent_68,Luohu,EH216,Wednesday,Luohu-Nanshan,10:00-11:00,5,19.6232470104256,0-100m,Consumer,Entity_148
2023-02-22,1,No,Enterprise,Ent_89,Longgang,V1500,Wednesday,Nanshan-Baoan,20:00-21:00,8,8.415677844552022,0-100m,Logistics,Entity_39
2023-09-12,5,No,Individual,Ent_96,Longgang,Matrice 300,Tuesday,Futian-Baoan,14:00-15:00,26,7.456485181285203,0-100m,Passenger,Entity_174
2023-05-29,2,No,Unknown,Ent_63,Baoan,V1500,Monday,Futian-Nanshan,19:00-20:00,26,9.519437200476364,300-600m,Industrial,Entity_195
